CHROM	TYPE	START	END	STRAND	transcript_id	gene_id	gene_type	gene_name
1	gene	185286911	185287662	+	ENSG00000273004.1	ENSG00000273004.1	lincRNA	GS1-279B7.2
1	gene	185290289	185304171	-	ENSG00000261024.2	ENSG00000261024.2	lincRNA	GS1-279B7.1
1	gene	185403376	185403437	+	ENSG00000252407.1	ENSG00000252407.1	snRNA	RNU7-183P
1	gene	185404971	185405179	+	ENSG00000270920.1	ENSG00000270920.1	pseudogene	CTA-277P6.1
1	gene	185527504	185597659	-	ENSG00000228309.2	ENSG00000228309.2	lincRNA	GS1-204I12.1
1	gene	185599560	185599660	-	ENSG00000207108.1	ENSG00000207108.1	misc_RNA	Y_RNA
1	gene	185603205	185603314	-	ENSG00000201596.1	ENSG00000201596.1	misc_RNA	Y_RNA
1	gene	185624134	185626300	+	ENSG00000261729.1	ENSG00000261729.1	lincRNA	GS1-204I12.4
1	gene	185703683	186160085	+	ENSG00000143341.7	ENSG00000143341.7	protein_coding	HMCN1
2	gene	217730	266398	-	ENSG00000035115.17	ENSG00000035115.17	protein_coding	SH3YL1
2	gene	264140	278283	+	ENSG00000143727.11	ENSG00000143727.11	protein_coding	ACP1
2	gene	279558	288851	-	ENSG00000189292.11	ENSG00000189292.11	protein_coding	FAM150B
2	gene	286419	301515	+	ENSG00000228643.1	ENSG00000228643.1	processed_transcript	AC079779.4
2	gene	305111	314367	-	ENSG00000235779.3	ENSG00000235779.3	lincRNA	AC079779.5
2	gene	317912	342118	+	ENSG00000233684.2	ENSG00000233684.2	lincRNA	AC079779.6
2	gene	388412	416885	+	ENSG00000236856.1	ENSG00000236856.1	lincRNA	AC105393.1
2	gene	421057	422303	+	ENSG00000226277.1	ENSG00000226277.1	lincRNA	AC105393.2
2	gene	490944	492655	-	ENSG00000223985.1	ENSG00000223985.1	lincRNA	AC093326.1
2	gene	545805	546667	+	ENSG00000225942.1	ENSG00000225942.1	lincRNA	AC093326.2
2	gene	558204	578145	+	ENSG00000233633.1	ENSG00000233633.1	lincRNA	AC093326.3
2	gene	667335	677439	-	ENSG00000151353.10	ENSG00000151353.10	protein_coding	TMEM18
2	gene	677186	697371	+	ENSG00000233296.1	ENSG00000233296.1	antisense	AC092159.2
2	gene	692083	693235	-	ENSG00000233970.1	ENSG00000233970.1	antisense	AC092159.3
2	gene	724966	731224	-	ENSG00000227713.1	ENSG00000227713.1	lincRNA	AC116609.1
2	gene	20110021	20189892	-	ENSG00000118965.10	ENSG00000118965.10	protein_coding	WDR35
2	gene	20189978	20203971	+	ENSG00000227210.1	ENSG00000227210.1	antisense	AC079145.4
2	gene	20191872	20212455	-	ENSG00000132031.8	ENSG00000132031.8	protein_coding	MATN3
2	gene	20232411	20251789	-	ENSG00000068697.6	ENSG00000068697.6	protein_coding	LAPTM4A
2	gene	20251895	20254257	+	ENSG00000223734.2	ENSG00000223734.2	antisense	RP11-644K8.1
2	gene	20263617	20306590	-	ENSG00000234378.1	ENSG00000234378.1	lincRNA	AC098828.2
2	gene	20355379	20355818	-	ENSG00000213729.3	ENSG00000213729.3	pseudogene	AC098828.3
2	gene	20375107	20375397	+	ENSG00000266059.1	ENSG00000266059.1	misc_RNA	RN7SL140P
2	gene	20375566	20375670	+	ENSG00000200763.1	ENSG00000200763.1	snRNA	RNU6-961P
2	gene	20400558	20425194	-	ENSG00000115884.6	ENSG00000115884.6	protein_coding	SDC1
2	gene	20439653	20440807	-	ENSG00000235411.1	ENSG00000235411.1	pseudogene	AC007041.2
2	gene	20446087	20446148	-	ENSG00000238735.1	ENSG00000238735.1	snRNA	RNU7-113P
2	gene	20448452	20551995	-	ENSG00000055917.11	ENSG00000055917.11	protein_coding	PUM2
2	gene	20553403	20553477	-	ENSG00000252216.1	ENSG00000252216.1	miRNA	AC007041.1
2	gene	20586147	20596349	+	ENSG00000232800.1	ENSG00000232800.1	pseudogene	SLC7A15P
2	gene	20601388	20601485	-	ENSG00000212171.1	ENSG00000212171.1	rRNA	RNA5SP86
2	gene	20646835	20649200	+	ENSG00000143878.8	ENSG00000143878.8	protein_coding	RHOB
2	gene	20650803	20652708	+	ENSG00000228950.1	ENSG00000228950.1	lincRNA	AC023137.2
2	gene	20680605	20680716	+	ENSG00000200829.1	ENSG00000200829.1	misc_RNA	Y_RNA
2	gene	20699331	20701071	-	ENSG00000227047.1	ENSG00000227047.1	lincRNA	AC012065.4
2	gene	20760208	20850849	-	ENSG00000118960.8	ENSG00000118960.8	protein_coding	HS1BP3
2	gene	20786008	20786446	-	ENSG00000269976.1	ENSG00000269976.1	lincRNA	RP11-130L8.2
2	gene	20790535	20792308	-	ENSG00000231948.2	ENSG00000231948.2	sense_intronic	HS1BP3-IT1
2	gene	20806040	20806414	-	ENSG00000233416.1	ENSG00000233416.1	pseudogene	AC012065.5
2	gene	20866424	20873418	+	ENSG00000143869.5	ENSG00000143869.5	protein_coding	GDF7
2	gene	20877569	20879005	+	ENSG00000260396.1	ENSG00000260396.1	lincRNA	AC012065.7
2	gene	20878014	20878692	-	ENSG00000270100.1	ENSG00000270100.1	lincRNA	RP11-130L8.1
2	gene	20883788	21022882	-	ENSG00000118961.10	ENSG00000118961.10	protein_coding	C2orf43
2	gene	21059531	21061421	+	ENSG00000236436.1	ENSG00000236436.1	lincRNA	AC012361.1
2	gene	25600067	25896503	-	ENSG00000138101.14	ENSG00000138101.14	protein_coding	DTNB
2	gene	25919945	25920057	-	ENSG00000201160.1	ENSG00000201160.1	misc_RNA	Y_RNA
2	gene	25945061	25945165	+	ENSG00000222070.1	ENSG00000222070.1	miRNA	AC010150.2
2	gene	25956622	26101385	-	ENSG00000143970.12	ENSG00000143970.12	protein_coding	ASXL2
2	gene	26032794	26033525	-	ENSG00000187536.4	ENSG00000187536.4	pseudogene	TPM3P7
2	gene	26045338	26045819	+	ENSG00000217643.1	ENSG00000217643.1	pseudogene	PTGES3P2
2	gene	26079330	26079835	-	ENSG00000218682.1	ENSG00000218682.1	pseudogene	AC010150.1
2	gene	26109833	26110075	-	ENSG00000217718.1	ENSG00000217718.1	pseudogene	AC064847.4
2	gene	26149471	26205618	-	ENSG00000084731.9	ENSG00000084731.9	protein_coding	KIF3C
2	gene	26217663	26217950	+	ENSG00000237629.1	ENSG00000237629.1	pseudogene	UQCRHP2
2	gene	26251074	26251481	-	ENSG00000268412.1	ENSG00000268412.1	protein_coding	AC013449.1
2	gene	26256976	26360323	+	ENSG00000084733.6	ENSG00000084733.6	protein_coding	RAB10
2	gene	26265544	26265650	+	ENSG00000199872.1	ENSG00000199872.1	snRNA	RNU6-942P
2	gene	26324186	26325005	-	ENSG00000235440.1	ENSG00000235440.1	pseudogene	RP11-214J9.1
2	gene	26363132	26364133	-	ENSG00000231655.1	ENSG00000231655.1	pseudogene	AC011742.3
2	gene	26372073	26373600	+	ENSG00000214465.3	ENSG00000214465.3	pseudogene	SMARCE1P6
2	gene	26382892	26384005	+	ENSG00000227133.1	ENSG00000227133.1	pseudogene	AC011742.5
2	gene	26384925	26385423	+	ENSG00000237951.1	ENSG00000237951.1	pseudogene	PPIL1P1
2	gene	26395960	26412532	+	ENSG00000157833.8	ENSG00000157833.8	protein_coding	GAREML
2	gene	26413504	26467594	-	ENSG00000084754.6	ENSG00000084754.6	protein_coding	HADHA
2	gene	26466038	26513336	+	ENSG00000138029.9	ENSG00000138029.9	protein_coding	HADHB
2	gene	26531041	26569685	-	ENSG00000173567.10	ENSG00000173567.10	protein_coding	GPR113
2	gene	26531415	26618759	+	ENSG00000138018.13	ENSG00000138018.13	protein_coding	EPT1
2	gene	26624784	26679579	+	ENSG00000157856.6	ENSG00000157856.6	protein_coding	DRC1
2	gene	28931819	28959071	-	ENSG00000226833.1	ENSG00000226833.1	antisense	AC097724.3
2	gene	28974506	29025806	+	ENSG00000213639.5	ENSG00000213639.5	protein_coding	PPP1CB
2	gene	29005383	29073477	+	ENSG00000163806.11	ENSG00000163806.11	protein_coding	SPDYA
2	gene	29033147	29033572	-	ENSG00000273233.1	ENSG00000273233.1	lincRNA	RP11-713D19.1
2	gene	29072687	29093167	-	ENSG00000171103.6	ENSG00000171103.6	protein_coding	TRMT61B
2	gene	29117509	29171088	+	ENSG00000163811.7	ENSG00000163811.7	protein_coding	WDR43
2	gene	29136530	29136614	+	ENSG00000264994.1	ENSG00000264994.1	snoRNA	SNORD92
2	gene	29149933	29150010	+	ENSG00000265145.1	ENSG00000265145.1	snoRNA	SNORD53
2	gene	29150109	29150206	-	ENSG00000222224.1	ENSG00000222224.1	misc_RNA	Y_RNA
2	gene	29150849	29150926	+	ENSG00000265706.1	ENSG00000265706.1	snoRNA	SNORD53_SNORD92
2	gene	29179477	29284239	+	ENSG00000189350.8	ENSG00000189350.8	protein_coding	FAM179A
2	gene	29195280	29195387	-	ENSG00000200283.1	ENSG00000200283.1	misc_RNA	Y_RNA
2	gene	29283842	29297127	-	ENSG00000179270.6	ENSG00000179270.6	protein_coding	C2orf71
2	gene	29304136	29304217	-	ENSG00000263957.1	ENSG00000263957.1	miRNA	AC105398.1
2	gene	29319709	29320391	-	ENSG00000229224.1	ENSG00000229224.1	antisense	AC105398.3
2	gene	29320571	29412509	+	ENSG00000115295.15	ENSG00000115295.15	protein_coding	CLIP4
2	gene	29726773	29726859	-	ENSG00000266310.1	ENSG00000266310.1	miRNA	AC106899.1
2	gene	29903895	29904189	-	ENSG00000242699.2	ENSG00000242699.2	misc_RNA	RN7SL516P
2	gene	30273932	30366670	-	ENSG00000233862.1	ENSG00000233862.1	antisense	AC016907.3
2	gene	30369807	30383399	+	ENSG00000119801.8	ENSG00000119801.8	protein_coding	YPEL5
2	gene	30410300	30410432	+	ENSG00000207187.1	ENSG00000207187.1	snoRNA	SNORA64
2	gene	30432861	30433173	+	ENSG00000231712.1	ENSG00000231712.1	pseudogene	AC104698.2
2	gene	30454397	30546596	+	ENSG00000213626.7	ENSG00000213626.7	protein_coding	LBH
2	gene	30481193	30482893	+	ENSG00000256261.1	ENSG00000256261.1	pseudogene	AC104698.1
2	gene	30569525	30575297	+	ENSG00000235997.2	ENSG00000235997.2	lincRNA	AC109642.1
2	gene	30655219	30655314	-	ENSG00000221377.1	ENSG00000221377.1	miRNA	AC073255.1
2	gene	30670092	30867091	+	ENSG00000172954.9	ENSG00000172954.9	protein_coding	LCLAT1
2	gene	30945637	31043408	-	ENSG00000162949.12	ENSG00000162949.12	protein_coding	CAPN13
2	gene	30969310	30969567	-	ENSG00000230118.1	ENSG00000230118.1	pseudogene	AC092569.2
2	gene	31133333	31378068	-	ENSG00000158089.10	ENSG00000158089.10	protein_coding	GALNT14
2	gene	31209805	31214292	+	ENSG00000234579.1	ENSG00000234579.1	antisense	AC009305.1
2	gene	31258419	31258510	+	ENSG00000216093.1	ENSG00000216093.1	miRNA	AC009305.2
2	gene	37070783	37193615	-	ENSG00000115808.7	ENSG00000115808.7	protein_coding	STRN
2	gene	37186505	37186605	+	ENSG00000252518.1	ENSG00000252518.1	snRNA	RNU6-846P
2	gene	37195526	37311485	-	ENSG00000008869.7	ENSG00000008869.7	protein_coding	HEATR5B
2	gene	37311594	37326387	+	ENSG00000152133.10	ENSG00000152133.10	protein_coding	GPATCH11
2	gene	37326353	37384208	-	ENSG00000055332.12	ENSG00000055332.12	protein_coding	EIF2AK2
2	gene	37375673	37376447	+	ENSG00000224891.1	ENSG00000224891.1	pseudogene	AC007899.3
2	gene	37394963	37423741	-	ENSG00000138068.6	ENSG00000138068.6	protein_coding	SULT6B1
2	gene	37421525	37421880	-	ENSG00000233159.1	ENSG00000233159.1	pseudogene	AC007390.4
2	gene	37423631	37443336	+	ENSG00000218739.5	ENSG00000218739.5	protein_coding	AC007390.5
2	gene	37428755	37458856	-	ENSG00000115816.9	ENSG00000115816.9	protein_coding	CEBPZ
2	gene	37436018	37439820	+	ENSG00000272054.1	ENSG00000272054.1	sense_intronic	RP11-423P10.2
2	gene	37458774	37480546	+	ENSG00000003509.11	ENSG00000003509.11	protein_coding	NDUFAF7
2	gene	37477645	37551951	-	ENSG00000115825.5	ENSG00000115825.5	protein_coding	PRKD3
2	gene	37552483	37553940	+	ENSG00000232028.1	ENSG00000232028.1	lincRNA	AC007391.2
2	gene	37558913	37559019	-	ENSG00000207364.1	ENSG00000207364.1	snRNA	RNU6-939P
2	gene	37571717	37600465	+	ENSG00000115828.11	ENSG00000115828.11	protein_coding	QPCT
2	gene	42994229	43019733	-	ENSG00000162882.10	ENSG00000162882.10	protein_coding	HAAO
2	gene	43024365	43025852	-	ENSG00000226491.1	ENSG00000226491.1	pseudogene	FTOP1
2	gene	43053462	43054757	-	ENSG00000232202.1	ENSG00000232202.1	pseudogene	AC098824.6
2	gene	43228495	43233200	-	ENSG00000224739.2	ENSG00000224739.2	lincRNA	AC016735.1
2	gene	43254992	43266686	-	ENSG00000231826.1	ENSG00000231826.1	lincRNA	AC016735.2
2	gene	43268332	43270921	-	ENSG00000233978.1	ENSG00000233978.1	lincRNA	AC016735.3
2	gene	43318526	43318632	-	ENSG00000207087.1	ENSG00000207087.1	snRNA	RNU6-242P
2	gene	43324884	43329829	-	ENSG00000230587.1	ENSG00000230587.1	lincRNA	AC093609.1
2	gene	43393800	43823185	-	ENSG00000115970.14	ENSG00000115970.14	protein_coding	THADA
2	gene	43449541	43453748	-	ENSG00000152518.5	ENSG00000152518.5	protein_coding	ZFP36L2
2	gene	43456712	43460533	+	ENSG00000234936.1	ENSG00000234936.1	antisense	AC010883.5
2	gene	43635446	43635551	+	ENSG00000252804.1	ENSG00000252804.1	snRNA	RNU6-958P
2	gene	43848017	43848123	-	ENSG00000207411.1	ENSG00000207411.1	misc_RNA	Y_RNA
2	gene	43864412	43995126	+	ENSG00000152527.9	ENSG00000152527.9	protein_coding	PLEKHH2
2	gene	43902292	43903461	-	ENSG00000223658.5	ENSG00000223658.5	pseudogene	AC011242.6
2	gene	43907604	43908761	-	ENSG00000229695.1	ENSG00000229695.1	pseudogene	AC011242.5
2	gene	43999259	43999489	-	ENSG00000252490.1	ENSG00000252490.1	misc_RNA	RN7SKP66
2	gene	44001178	44037149	+	ENSG00000138036.14	ENSG00000138036.14	protein_coding	DYNC2LI1
2	gene	44039611	44066004	-	ENSG00000138075.7	ENSG00000138075.7	protein_coding	ABCG5
2	gene	44066103	44105605	+	ENSG00000143921.6	ENSG00000143921.6	protein_coding	ABCG8
2	gene	45615819	45839304	-	ENSG00000068784.8	ENSG00000068784.8	protein_coding	SRBD1
2	gene	45796340	45796631	-	ENSG00000239396.2	ENSG00000239396.2	misc_RNA	RN7SL414P
2	gene	45878484	46415129	+	ENSG00000171132.9	ENSG00000171132.9	protein_coding	PRKCE
2	gene	45901840	45902615	-	ENSG00000228481.1	ENSG00000228481.1	antisense	U51244.2
2	gene	46231081	46231448	-	ENSG00000233829.1	ENSG00000233829.1	pseudogene	AC017078.1
2	gene	46305154	46305967	-	ENSG00000232696.1	ENSG00000232696.1	antisense	AC017006.2
2	gene	46393928	46395117	-	ENSG00000231336.1	ENSG00000231336.1	antisense	AC017006.3
2	gene	46483999	46484316	-	ENSG00000233335.1	ENSG00000233335.1	pseudogene	AC016696.1
2	gene	46520806	46613836	+	ENSG00000116016.9	ENSG00000116016.9	protein_coding	EPAS1
2	gene	46619436	46621306	-	ENSG00000228100.1	ENSG00000228100.1	lincRNA	AC016912.3
2	gene	46656329	46711564	+	ENSG00000187600.8	ENSG00000187600.8	protein_coding	TMEM247
2	gene	46675365	46675650	-	ENSG00000241791.2	ENSG00000241791.2	misc_RNA	RN7SL817P
2	gene	61704984	61765761	-	ENSG00000082898.12	ENSG00000082898.12	protein_coding	XPO1
2	gene	61782495	61782593	+	ENSG00000266768.1	ENSG00000266768.1	miRNA	AC016727.1
2	gene	61802909	61803529	+	ENSG00000271243.1	ENSG00000271243.1	pseudogene	RP11-355B11.1
2	gene	61816633	61816798	-	ENSG00000226884.1	ENSG00000226884.1	pseudogene	AC016727.3
2	gene	61832751	61832857	+	ENSG00000206973.1	ENSG00000206973.1	snRNA	RNU6-1145P
2	gene	61937211	61938113	-	ENSG00000213486.3	ENSG00000213486.3	pseudogene	AC108039.1
2	gene	62030278	62030523	+	ENSG00000227361.1	ENSG00000227361.1	pseudogene	RPS24P7
2	gene	62047343	62047701	+	ENSG00000229831.2	ENSG00000229831.2	pseudogene	AC108039.3
2	gene	62051989	62081278	-	ENSG00000170264.8	ENSG00000170264.8	protein_coding	FAM161A
2	gene	62083830	62084190	+	ENSG00000230702.1	ENSG00000230702.1	pseudogene	RP11-681L4.1
2	gene	62095224	62115939	-	ENSG00000115484.10	ENSG00000115484.10	protein_coding	CCT4
2	gene	62095567	62113217	+	ENSG00000236498.1	ENSG00000236498.1	antisense	AC107081.5
2	gene	62115859	62374382	+	ENSG00000173163.6	ENSG00000173163.6	protein_coding	COMMD1
2	gene	62296582	62374016	-	ENSG00000229839.2	ENSG00000229839.2	antisense	AC018462.2
2	gene	62373548	62374288	+	ENSG00000242735.1	ENSG00000242735.1	pseudogene	AC018462.3
2	gene	62395997	62398298	+	ENSG00000271657.1	ENSG00000271657.1	pseudogene	RP11-270B14.1
2	gene	62423248	62451866	+	ENSG00000170340.10	ENSG00000170340.10	protein_coding	B3GNT2
2	gene	62432961	62433052	+	ENSG00000266097.1	ENSG00000266097.1	miRNA	MIR5192
2	gene	62489524	62489806	-	ENSG00000239958.2	ENSG00000239958.2	misc_RNA	RN7SL51P
2	gene	62492130	62492233	+	ENSG00000238809.1	ENSG00000238809.1	snoRNA	snoU13
2	gene	62576083	62577874	-	ENSG00000270335.1	ENSG00000270335.1	pseudogene	RP11-642D6.1
2	gene	62690262	62691205	+	ENSG00000228541.1	ENSG00000228541.1	lincRNA	AC093159.1
2	gene	62718313	62718601	+	ENSG00000241625.2	ENSG00000241625.2	misc_RNA	RN7SL18P
2	gene	86730554	86948245	-	ENSG00000115561.10	ENSG00000115561.10	protein_coding	CHMP3
2	gene	86732791	86948245	-	ENSG00000249884.4	ENSG00000249884.4	protein_coding	RNF103-CHMP3
2	gene	86947296	87005164	+	ENSG00000153561.8	ENSG00000153561.8	protein_coding	RMND5A
2	gene	87011729	87035519	-	ENSG00000153563.11	ENSG00000153563.11	protein_coding	CD8A
2	gene	87042462	87089047	-	ENSG00000172116.17	ENSG00000172116.17	protein_coding	CD8B
2	gene	87089023	87092827	+	ENSG00000229615.1	ENSG00000229615.1	protein_coding	AC111200.1
2	gene	87098424	87149816	+	ENSG00000233673.2	ENSG00000233673.2	pseudogene	ANAPC1P1
2	gene	87112198	87112854	-	ENSG00000213605.2	ENSG00000213605.2	pseudogene	AC111200.2
2	gene	87135076	87241104	+	ENSG00000187627.10	ENSG00000187627.10	protein_coding	RGPD1
2	gene	87157373	87157877	-	ENSG00000231351.2	ENSG00000231351.2	pseudogene	AC111200.7
2	gene	87161585	87161945	-	ENSG00000226114.1	ENSG00000226114.1	pseudogene	AC111200.8
2	gene	87229682	87248975	-	ENSG00000183281.10	ENSG00000183281.10	protein_coding	PLGLB1
2	gene	87257800	87303536	-	ENSG00000231259.3	ENSG00000231259.3	pseudogene	AC125232.1
2	gene	87282781	87282923	-	ENSG00000266931.1	ENSG00000266931.1	pseudogene	RP11-1252D15.1
2	gene	87345657	87348103	-	ENSG00000230395.1	ENSG00000230395.1	pseudogene	AC092651.1
2	gene	87352513	87423770	+	ENSG00000204745.3	ENSG00000204745.3	pseudogene	AC083899.3
2	gene	113493930	113522254	-	ENSG00000169607.8	ENSG00000169607.8	protein_coding	CKAP2L
2	gene	113531492	113542167	-	ENSG00000115008.5	ENSG00000115008.5	protein_coding	IL1A
2	gene	113587328	113594480	-	ENSG00000125538.7	ENSG00000125538.7	protein_coding	IL1B
2	gene	113601888	113601988	+	ENSG00000221541.1	ENSG00000221541.1	miRNA	AC079753.1
2	gene	113610905	113611699	+	ENSG00000180152.3	ENSG00000180152.3	pseudogene	AC079753.4
2	gene	113670548	113676459	+	ENSG00000125571.5	ENSG00000125571.5	protein_coding	IL37
2	gene	113690202	113690748	+	ENSG00000227368.1	ENSG00000227368.1	pseudogene	AC079753.5
2	gene	113730780	113743242	+	ENSG00000136688.6	ENSG00000136688.6	protein_coding	IL36G
2	gene	113738743	113739011	-	ENSG00000236124.1	ENSG00000236124.1	pseudogene	HMGN2P23
2	gene	113753094	113753514	+	ENSG00000232090.2	ENSG00000232090.2	pseudogene	AC016724.6
2	gene	113763038	113765621	+	ENSG00000136694.8	ENSG00000136694.8	protein_coding	IL36A
2	gene	113779668	113810444	-	ENSG00000136696.6	ENSG00000136696.6	protein_coding	IL36B
2	gene	113816215	113822959	+	ENSG00000136695.10	ENSG00000136695.10	protein_coding	IL36RN
2	gene	113825547	113833427	+	ENSG00000136697.8	ENSG00000136697.8	protein_coding	IL1F10
2	gene	113844382	113844488	+	ENSG00000201805.1	ENSG00000201805.1	snRNA	RNU6-1180P
2	gene	113864791	113891593	+	ENSG00000136689.14	ENSG00000136689.14	protein_coding	IL1RN
2	gene	113914902	113966973	+	ENSG00000125637.11	ENSG00000125637.11	protein_coding	PSD4
2	gene	113929112	113932937	-	ENSG00000234174.1	ENSG00000234174.1	antisense	AC016683.5
2	gene	113969099	114034158	+	ENSG00000189223.9	ENSG00000189223.9	processed_transcript	AC016683.6
2	gene	113973574	114036527	-	ENSG00000125618.12	ENSG00000125618.12	protein_coding	PAX8
2	gene	113998307	113998987	+	ENSG00000258395.1	ENSG00000258395.1	antisense	RP11-65I12.1
2	gene	114163973	114164486	+	ENSG00000231292.5	ENSG00000231292.5	IG_V_gene	IGKV1OR2-108
2	gene	114182072	114182901	+	ENSG00000234997.1	ENSG00000234997.1	antisense	AC016745.3
2	gene	114190177	114193619	+	ENSG00000272563.1	ENSG00000272563.1	lincRNA	RP11-480C16.1
2	gene	114195268	114253766	+	ENSG00000136682.10	ENSG00000136682.10	protein_coding	CBWD2
2	gene	114204992	114205429	-	ENSG00000238091.1	ENSG00000238091.1	protein_coding	AC016745.1
2	gene	114256661	114258728	+	ENSG00000184492.5	ENSG00000184492.5	protein_coding	FOXD4L1
2	gene	114270040	114273062	+	ENSG00000234148.2	ENSG00000234148.2	lincRNA	RP11-395L14.3
2	gene	114285145	114300249	-	ENSG00000231943.3	ENSG00000231943.3	lincRNA	RP11-395L14.4
2	gene	114299514	114320875	+	ENSG00000225398.2	ENSG00000225398.2	pseudogene	RP11-395L14.5
2	gene	114334959	114336429	+	ENSG00000226516.3	ENSG00000226516.3	lincRNA	FAM138B
2	gene	114340536	114340673	-	ENSG00000221055.1	ENSG00000221055.1	miRNA	MIR1302-3
2	gene	114341664	114356655	+	ENSG00000146556.10	ENSG00000146556.10	pseudogene	WASH2P
